Order_No,Time from Pickup to Arrival
Order_No_10125,2711.1310754389215
Order_No_20308,3114.822970138853
Order_No_4518,2689.91977200978
Order_No_3406,2991.6998008966625
Order_No_605,3224.273404518347
Order_No_27507,2819.7579478930916
Order_No_9352,3021.036430789394
Order_No_12374,3227.1974781086865
Order_No_21981,2598.841708875255
Order_No_23293,2289.494382482146
Order_No_10595,3227.680393957483
Order_No_14569,2289.494382482146
Order_No_22459,3348.7365361143957
Order_No_18244,2739.948795473868
Order_No_22006,2819.7579478930916
Order_No_16555,3123.5513805602213
Order_No_15352,2812.2319700042935
Order_No_6045,2651.3408880965617
Order_No_5785,3026.915708845134
Order_No_25261,2864.26391001933
Order_No_16004,3348.7365361143957
Order_No_4666,3026.915708845134
Order_No_6848,2815.5146728685613
Order_No_16999,3021.036430789394
Order_No_4454,3243.8025917931186
Order_No_19867,3257.1345004167556
Order_No_8525,2796.228348800184
Order_No_14830,2819.7579478930916
Order_No_5166,3352.033986205048
Order_No_8600,3294.5535216843805
Order_No_1424,2724.0114472862424
Order_No_28124,3372.244368952936
Order_No_202,3348.7365361143957
Order_No_21239,2312.036575749466
Order_No_28220,3293.0356807506832
Order_No_20883,2808.6981994698854
Order_No_25796,3171.598113836126
Order_No_17399,2733.817185823964
Order_No_6474,2598.841708875255
Order_No_25744,2803.7474456739856
Order_No_28183,3123.5513805602213
Order_No_14439,2928.265657158134
Order_No_9133,3277.82410325564
Order_No_113,2991.6998008966625
Order_No_7040,2803.7474456739856
Order_No_18205,3348.7365361143957
Order_No_26927,3081.780082810562
Order_No_13238,2825.0487522705334
Order_No_22130,3123.5513805602213
Order_No_21276,2639.875302604617
Order_No_1805,2864.26391001933
Order_No_22296,2733.817185823964
Order_No_3341,2991.6998008966625
Order_No_25656,2711.1310754389215
Order_No_14258,3348.7365361143957
Order_No_16747,3336.664852990602
Order_No_17893,3336.300648340114
Order_No_8127,3339.882725822839
Order_No_22518,2868.4052333534164
Order_No_23458,3384.8598575403303
Order_No_6376,2812.0575546057726
Order_No_13274,3372.060904861646
Order_No_15872,2838.6321697033354
Order_No_26843,3372.060904861646
Order_No_11606,2689.91977200978
Order_No_17119,3345.385486172552
Order_No_2920,3372.244368952936
Order_No_26188,2812.0575546057726
Order_No_6170,3134.633674864595
Order_No_3297,2838.6321697033354
Order_No_14832,2839.767603875507
Order_No_3262,3277.82410325564
Order_No_26825,2864.26391001933
Order_No_16348,2839.767603875507
Order_No_19181,2844.793772173624
Order_No_9628,3233.2916646548792
Order_No_12321,2651.3408880965617
Order_No_5373,3252.7931300520477
Order_No_11408,2947.8508450934323
Order_No_17595,2868.4052333534164
Order_No_6673,2849.8437712662508
Order_No_24820,3336.748472613622
Order_No_27980,2836.010216951994
Order_No_22,2803.7474456739856
Order_No_12144,3293.0356807506832
Order_No_27423,3122.8313863372364
Order_No_27750,2868.4052333534164
Order_No_9598,3346.8859965113566
Order_No_24154,3372.060904861646
Order_No_8101,2991.6998008966625
Order_No_19215,2972.3689867288012
Order_No_13735,2724.0114472862424
Order_No_21382,3339.882725822839
Order_No_14598,3277.82410325564
Order_No_18882,3354.265491206368
Order_No_22210,3041.8728922418704
Order_No_17315,3257.1345004167556
Order_No_15936,2651.3408880965617
Order_No_20424,2778.8336721976184
Order_No_8544,2849.8437712662508
Order_No_1945,3372.244368952936
Order_No_15723,2995.9016627396595
Order_No_14246,2625.5570516779044
Order_No_17804,2689.91977200978
Order_No_6307,3374.0853950917867
Order_No_21140,3343.352552459036
Order_No_27783,3240.1166120700045
Order_No_16698,2932.737180945768
Order_No_4055,3343.352552459036
Order_No_24360,3402.6331822499424
Order_No_23304,3265.5286804327015
Order_No_18831,2718.5350385380307
Order_No_8221,2838.6321697033354
Order_No_17708,2680.526215014156
Order_No_8804,2733.817185823964
Order_No_1287,3348.7365361143957
Order_No_8582,2805.2289484555245
Order_No_22982,3348.7365361143957
Order_No_5673,3296.522040302203
Order_No_265,3134.633674864595
Order_No_10919,2825.0487522705334
Order_No_25941,2734.1658203472316
Order_No_10818,3348.7365361143957
Order_No_7955,2819.7579478930916
Order_No_21808,3134.633674864595
Order_No_15316,2803.7474456739856
Order_No_4569,3277.82410325564
Order_No_26467,3374.0853950917867
Order_No_18042,2965.358408227153
Order_No_1690,2598.841708875255
Order_No_23240,3081.780082810562
Order_No_6518,3114.822970138853
Order_No_15554,2939.474471717561
Order_No_10496,3122.8313863372364
Order_No_14374,2947.8508450934323
Order_No_26952,3346.8859965113566
Order_No_4877,2680.526215014156
Order_No_13214,2947.8508450934323
Order_No_23220,3233.2916646548792
Order_No_8668,3114.822970138853
Order_No_17800,3348.7365361143957
Order_No_19852,3354.265491206368
Order_No_27728,3243.8025917931186
Order_No_4520,3233.2916646548792
Order_No_22070,3114.822970138853
Order_No_8558,3334.5078792783634
Order_No_14907,3374.0853950917867
Order_No_18319,3227.1974781086865
Order_No_16097,3337.3848942527575
Order_No_2417,2998.186483258168
Order_No_11575,2687.00091994186
Order_No_15,2815.0950155886776
Order_No_4679,2796.228348800184
Order_No_26060,3348.7365361143957
Order_No_15503,2701.1426990046384
Order_No_7661,2947.8508450934323
Order_No_1830,3275.0656050661673
Order_No_21557,2802.178422674823
Order_No_13473,2701.1426990046384
Order_No_13008,3334.5078792783634
Order_No_18509,2598.841708875255
Order_No_3829,2212.645065751097
Order_No_6065,3374.0853950917867
Order_No_14799,3287.138520089309
Order_No_1776,2712.963402459026
Order_No_12463,3354.265491206368
Order_No_6604,3240.1166120700045
Order_No_1799,3334.5078792783634
Order_No_10157,3311.0477927539246
Order_No_9766,2724.0114472862424
Order_No_5814,2836.010216951994
Order_No_14030,2991.6998008966625
Order_No_13176,3265.5286804327015
Order_No_4656,3240.1166120700045
Order_No_5529,3309.1562226483748
Order_No_7690,2625.5570516779044
Order_No_19956,3348.7365361143957
Order_No_22252,2815.0950155886776
Order_No_10533,2689.91977200978
Order_No_8881,3329.5423951161947
Order_No_10182,2805.2289484555245
Order_No_13944,2991.6998008966625
Order_No_6048,2972.3689867288012
Order_No_12388,2932.737180945768
Order_No_25071,3134.633674864595
Order_No_13153,2901.2276712994712
Order_No_25366,2868.4052333534164
Order_No_7696,2815.0950155886776
Order_No_2007,3372.060904861646
Order_No_19309,3265.5286804327015
Order_No_19227,3352.033986205048
Order_No_21284,2625.5570516779044
Order_No_23202,2838.6321697033354
Order_No_8939,2805.2289484555245
Order_No_19778,3114.822970138853
Order_No_23557,3372.244368952936
Order_No_4701,2833.4613693414362
Order_No_7447,2724.0114472862424
Order_No_27215,2598.841708875255
Order_No_26093,2805.2289484555245
Order_No_20488,2803.7474456739856
Order_No_9560,2712.963402459026
Order_No_26678,3336.748472613622
Order_No_20208,3354.265491206368
Order_No_21879,3233.2916646548792
Order_No_9237,2998.186483258168
Order_No_13651,2651.3408880965617
Order_No_5812,3348.7365361143957
Order_No_10902,2802.178422674823
Order_No_6327,3233.2916646548792
Order_No_1435,3336.748472613622
Order_No_21248,3227.680393957483
Order_No_24214,2932.737180945768
Order_No_22384,2924.096739125351
Order_No_17635,3134.633674864595
Order_No_8977,2651.3408880965617
Order_No_8944,2939.474471717561
Order_No_21206,2290.038888410527
Order_No_24952,2687.00091994186
Order_No_24037,2651.3408880965617
Order_No_5344,2712.963402459026
Order_No_5735,2306.4649396704613
Order_No_9938,3277.82410325564
Order_No_9572,3490.2013705691816
Order_No_17057,2995.9016627396595
Order_No_2630,2802.178422674823
Order_No_328,2724.0114472862424
Order_No_26349,2724.0114472862424
Order_No_119,2651.3408880965617
Order_No_25779,2680.526215014156
Order_No_16033,2805.2289484555245
Order_No_16640,3334.5078792783634
Order_No_2440,2724.0114472862424
Order_No_1930,2724.0114472862424
Order_No_26105,3041.8728922418704
Order_No_20741,2947.8508450934323
Order_No_20896,2805.2289484555245
Order_No_11100,2712.963402459026
Order_No_28180,3397.2523495020823
Order_No_16083,2805.2289484555245
Order_No_8184,2864.26391001933
Order_No_14011,2689.91977200978
Order_No_22660,2625.5570516779044
Order_No_2501,3240.1166120700045
Order_No_23934,3134.633674864595
Order_No_13179,2680.526215014156
Order_No_25191,2778.8336721976184
Order_No_16381,2823.7838368233424
Order_No_15052,2995.9016627396595
Order_No_10144,3397.2523495020823
Order_No_4309,2833.4613693414362
Order_No_3631,3233.2916646548792
Order_No_3102,2724.0114472862424
Order_No_14330,3233.2916646548792
Order_No_8375,2718.5350385380307
Order_No_3804,3021.036430789394
Order_No_13817,2718.5350385380307
Order_No_73,2796.228348800184
Order_No_13329,2711.1310754389215
Order_No_27514,3021.036430789394
Order_No_15161,3381.631117315839
Order_No_10310,3233.2916646548792
Order_No_10814,2819.7579478930916
Order_No_21397,2815.0950155886776
Order_No_1033,2724.0114472862424
Order_No_14857,2815.5146728685613
Order_No_5784,3399.591165669167
Order_No_7041,3372.060904861646
Order_No_976,3252.7931300520477
Order_No_1323,3227.680393957483
Order_No_24269,2812.2319700042935
Order_No_8145,2724.0114472862424
Order_No_18898,3171.598113836126
Order_No_2353,2819.7579478930916
Order_No_20438,3026.915708845134
Order_No_21318,2289.494382482146
Order_No_432,3245.7409227290655
Order_No_28265,3122.8313863372364
Order_No_17853,2932.737180945768
Order_No_3888,3348.7365361143957
Order_No_19004,2739.948795473868
Order_No_3751,3021.036430789394
Order_No_24072,3348.7365361143957
Order_No_6192,3326.6790761342654
Order_No_23991,2711.1310754389215
Order_No_9669,3397.2523495020823
Order_No_9159,3252.7931300520477
Order_No_3469,2701.1426990046384
Order_No_8175,2724.0114472862424
Order_No_19400,3114.822970138853
Order_No_19301,2724.0114472862424
Order_No_7079,2803.7474456739856
Order_No_6179,2739.948795473868
Order_No_7898,3346.8859965113566
Order_No_8398,2864.26391001933
Order_No_26262,2651.3408880965617
Order_No_11181,3114.822970138853
Order_No_11359,2651.3408880965617
Order_No_27119,2815.5146728685613
Order_No_22979,2712.963402459026
Order_No_20357,2724.0114472862424
Order_No_11599,2651.3408880965617
Order_No_27419,3233.2916646548792
Order_No_28027,2829.770272772087
Order_No_9240,2733.817185823964
Order_No_10621,2711.1310754389215
Order_No_9573,2651.3408880965617
Order_No_16641,3122.8313863372364
Order_No_17532,2991.6998008966625
Order_No_27475,3041.8728922418704
Order_No_17860,2724.0114472862424
Order_No_21510,3021.036430789394
Order_No_20057,2701.1426990046384
Order_No_5742,3279.1210730045154
Order_No_12926,2680.526215014156
Order_No_1100,2711.1310754389215
Order_No_16665,2680.526215014156
Order_No_3239,2289.494382482146
Order_No_6527,2838.6321697033354
Order_No_27436,3114.822970138853
Order_No_25724,2812.2319700042935
Order_No_18565,2838.6321697033354
Order_No_13991,2815.5146728685613
Order_No_10370,2724.0114472862424
Order_No_20802,2805.2289484555245
Order_No_7216,2639.875302604617
Order_No_20243,2687.00091994186
Order_No_963,2836.010216951994
Order_No_7077,3026.915708845134
Order_No_15921,3123.5513805602213
Order_No_14182,3336.748472613622
Order_No_2513,3233.2916646548792
Order_No_11162,2805.2289484555245
Order_No_10498,2808.6981994698854
Order_No_27109,2965.358408227153
Order_No_27510,2815.0950155886776
Order_No_28242,3329.5423951161947
Order_No_5402,2724.0114472862424
Order_No_16501,2701.1426990046384
Order_No_25394,2812.2319700042935
Order_No_12173,2711.1310754389215
Order_No_3494,2849.8437712662508
Order_No_7796,2849.8437712662508
Order_No_14650,2802.178422674823
Order_No_14378,2680.526215014156
Order_No_9010,2724.0114472862424
Order_No_6513,3402.6331822499424
Order_No_5698,2306.4649396704613
Order_No_17470,2844.793772173624
Order_No_17935,3233.2916646548792
Order_No_14047,2651.3408880965617
Order_No_6487,2829.770272772087
Order_No_13205,2651.3408880965617
Order_No_12730,2680.526215014156
Order_No_23447,2724.0114472862424
Order_No_21544,3219.6022561184545
Order_No_19834,2321.5572361183476
Order_No_13595,2805.2289484555245
Order_No_10952,3252.7931300520477
Order_No_16061,2802.178422674823
Order_No_11082,2711.1310754389215
Order_No_9973,2825.0487522705334
Order_No_24129,2965.358408227153
Order_No_17456,2802.178422674823
Order_No_13130,2836.010216951994
Order_No_17508,3048.151296713148
Order_No_24719,2823.7838368233424
Order_No_1122,2651.3408880965617
Order_No_13598,2991.6998008966625
Order_No_15418,3122.8313863372364
Order_No_12370,3372.244368952936
Order_No_9588,3265.5286804327015
Order_No_15534,3114.822970138853
Order_No_11299,3326.6790761342654
Order_No_17032,3134.633674864595
Order_No_2086,3354.265491206368
Order_No_662,3122.8313863372364
Order_No_18016,3468.4571472926036
Order_No_20168,3374.0853950917867
Order_No_24567,2724.0114472862424
Order_No_6364,3233.2916646548792
Order_No_9163,2998.186483258168
Order_No_21269,3048.151296713148
Order_No_23463,2805.2289484555245
Order_No_12415,3372.060904861646
Order_No_19530,2724.0114472862424
Order_No_15036,2701.1426990046384
Order_No_8329,3114.822970138853
Order_No_17871,2724.0114472862424
Order_No_15812,3169.410205922228
Order_No_1417,2991.6998008966625
Order_No_557,2598.841708875255
Order_No_2749,2724.0114472862424
Order_No_11273,2639.875302604617
Order_No_12502,3354.265491206368
Order_No_16703,2868.4052333534164
Order_No_11533,2718.5350385380307
Order_No_17269,2718.5350385380307
Order_No_1906,3114.822970138853
Order_No_24525,2838.6321697033354
Order_No_20167,2651.3408880965617
Order_No_10048,2712.963402459026
Order_No_19620,2321.5572361183476
Order_No_28249,2733.817185823964
Order_No_2180,3021.036430789394
Order_No_11898,3354.265491206368
Order_No_4533,3329.5423951161947
Order_No_3644,3123.5513805602213
Order_No_554,3123.5513805602213
Order_No_10375,3021.036430789394
Order_No_20558,2598.841708875255
Order_No_2982,3277.82410325564
Order_No_22670,3348.7365361143957
Order_No_24772,2712.963402459026
Order_No_20708,2819.7579478930916
Order_No_10470,3337.3848942527575
Order_No_13917,3372.060904861646
Order_No_25392,2651.3408880965617
Order_No_10153,3287.138520089309
Order_No_16467,3348.7365361143957
Order_No_5539,2724.0114472862424
Order_No_9069,3134.633674864595
Order_No_4233,2651.3408880965617
Order_No_9977,2625.5570516779044
Order_No_8910,3348.7365361143957
Order_No_22925,3227.680393957483
Order_No_3422,3372.060904861646
Order_No_16377,3134.633674864595
Order_No_4750,2734.1658203472316
Order_No_3565,3372.060904861646
Order_No_10981,2733.817185823964
Order_No_8065,2711.1310754389215
Order_No_27736,2718.5350385380307
Order_No_18818,3402.6331822499424
Order_No_24447,2939.474471717561
Order_No_7565,2651.3408880965617
Order_No_11098,2987.1302084894905
Order_No_16378,2625.5570516779044
Order_No_22111,2823.7838368233424
Order_No_24813,3336.748472613622
Order_No_18073,3348.7365361143957
Order_No_7393,3326.6790761342654
Order_No_3604,3134.633674864595
Order_No_7722,2689.91977200978
Order_No_6473,3243.8025917931186
Order_No_16328,3134.633674864595
Order_No_6951,2689.91977200978
Order_No_27115,2995.9016627396595
Order_No_4833,3354.265491206368
Order_No_26220,2712.963402459026
Order_No_19347,3354.265491206368
Order_No_23754,3021.036430789394
Order_No_26312,3342.5081191825657
Order_No_6258,2724.0114472862424
Order_No_8187,2739.948795473868
Order_No_24254,2724.0114472862424
Order_No_23923,2724.0114472862424
Order_No_18348,2687.00091994186
Order_No_6143,2724.0114472862424
Order_No_11761,2849.8437712662508
Order_No_25890,2724.0114472862424
Order_No_12525,2724.0114472862424
Order_No_17819,2724.0114472862424
Order_No_7530,2651.3408880965617
Order_No_3087,3021.036430789394
Order_No_16681,2651.3408880965617
Order_No_22705,3309.1562226483748
Order_No_12330,2796.228348800184
Order_No_9936,2651.3408880965617
Order_No_14792,2687.00091994186
Order_No_27480,3026.915708845134
Order_No_12371,2819.7579478930916
Order_No_23841,2218.4831037089234
Order_No_5723,2724.0114472862424
Order_No_7107,3369.576955717078
Order_No_8354,2819.7579478930916
Order_No_16616,2833.4613693414362
Order_No_13299,3041.8728922418704
Order_No_9846,2833.4613693414362
Order_No_23302,2680.526215014156
Order_No_21129,3277.82410325564
Order_No_6218,3374.0853950917867
Order_No_19174,2991.6998008966625
Order_No_17504,2939.474471717561
Order_No_13417,3358.5824841812528
Order_No_20985,2802.178422674823
Order_No_8974,2805.2289484555245
Order_No_16102,3348.7365361143957
Order_No_18610,2812.2319700042935
Order_No_15240,3123.5513805602213
Order_No_8222,3374.0853950917867
Order_No_9716,3374.0853950917867
Order_No_2322,2928.265657158134
Order_No_20909,2947.8508450934323
Order_No_21364,3243.8025917931186
Order_No_5142,2689.91977200978
Order_No_24450,3279.1210730045154
Order_No_6650,3372.244368952936
Order_No_5838,3252.7931300520477
Order_No_5507,3134.633674864595
Order_No_14746,3337.3848942527575
Order_No_19695,2868.4052333534164
Order_No_16731,3277.82410325564
Order_No_26896,2803.7474456739856
Order_No_19027,3026.915708845134
Order_No_7476,2711.1310754389215
Order_No_7552,2815.0950155886776
Order_No_1197,3171.598113836126
Order_No_24734,2734.1658203472316
Order_No_21567,2864.26391001933
Order_No_20868,2838.6321697033354
Order_No_23886,2711.1310754389215
Order_No_20995,2928.265657158134
Order_No_2832,2712.963402459026
Order_No_18513,2598.841708875255
Order_No_20644,3122.8313863372364
Order_No_15252,3399.3511665323813
Order_No_22288,2928.265657158134
Order_No_28091,2724.0114472862424
Order_No_15758,2680.526215014156
Order_No_6985,3344.330415723455
Order_No_19182,2796.228348800184
Order_No_16029,2947.8508450934323
Order_No_7628,2687.00091994186
Order_No_12870,2815.0950155886776
Order_No_5874,3169.410205922228
Order_No_3122,3026.915708845134
Order_No_14202,2947.8508450934323
Order_No_18634,3348.7365361143957
Order_No_17859,2680.526215014156
Order_No_12989,2778.8336721976184
Order_No_11519,3372.060904861646
Order_No_27804,2680.526215014156
Order_No_14750,3240.1166120700045
Order_No_27640,2689.91977200978
Order_No_9577,3219.6022561184545
Order_No_25067,2778.8336721976184
Order_No_5630,2724.0114472862424
Order_No_1662,3397.2523495020823
Order_No_20854,2724.0114472862424
Order_No_10597,3041.8728922418704
Order_No_14406,3171.598113836126
Order_No_3515,2802.178422674823
Order_No_479,3265.5286804327015
Order_No_13506,2836.010216951994
Order_No_8094,2711.1310754389215
Order_No_11527,2734.1658203472316
Order_No_1560,2778.8336721976184
Order_No_27797,2651.3408880965617
Order_No_28257,3243.8025917931186
Order_No_28126,2838.6321697033354
Order_No_8053,2718.5350385380307
Order_No_2916,2289.494382482146
Order_No_4016,2844.793772173624
Order_No_1978,2651.3408880965617
Order_No_7551,2724.0114472862424
Order_No_18878,2815.5146728685613
Order_No_17852,2639.875302604617
Order_No_12724,3309.1562226483748
Order_No_5052,3490.2013705691816
Order_No_9638,3227.1974781086865
Order_No_18608,2812.2319700042935
Order_No_10943,2987.1302084894905
Order_No_19284,2680.526215014156
Order_No_19089,2712.963402459026
Order_No_18792,2651.3408880965617
Order_No_27785,2939.474471717561
Order_No_6310,2724.0114472862424
Order_No_3396,2598.841708875255
Order_No_13210,2724.0114472862424
Order_No_27338,2947.8508450934323
Order_No_9449,3081.780082810562
Order_No_9953,3021.036430789394
Order_No_21319,2868.4052333534164
Order_No_6131,2928.265657158134
Order_No_16248,2739.948795473868
Order_No_25511,2808.6981994698854
Order_No_17581,2724.0114472862424
Order_No_15622,3322.3720613489636
Order_No_17371,3240.1166120700045
Order_No_3498,2689.91977200978
Order_No_21353,2947.8508450934323
Order_No_15321,3048.151296713148
Order_No_2430,3294.5535216843805
Order_No_12487,2924.096739125351
Order_No_10610,2711.1310754389215
Order_No_13632,2823.7838368233424
Order_No_14310,3399.591165669167
Order_No_20219,3345.385486172552
Order_No_24255,2625.5570516779044
Order_No_5688,3169.410205922228
Order_No_2098,2838.6321697033354
Order_No_1638,3233.2916646548792
Order_No_5930,3134.633674864595
Order_No_23690,2680.526215014156
Order_No_39,2868.4052333534164
Order_No_4504,3277.82410325564
Order_No_21781,2833.4613693414362
Order_No_18092,3348.7365361143957
Order_No_22970,2802.178422674823
Order_No_10140,2598.841708875255
Order_No_25566,2965.358408227153
Order_No_10010,3277.82410325564
Order_No_13320,3372.244368952936
Order_No_25781,2718.5350385380307
Order_No_11047,2680.526215014156
Order_No_19150,3252.7931300520477
Order_No_13956,2724.0114472862424
Order_No_2795,3348.7365361143957
Order_No_9239,2598.841708875255
Order_No_25948,2651.3408880965617
Order_No_24195,2712.963402459026
Order_No_21625,2812.2319700042935
Order_No_27048,3227.680393957483
Order_No_17009,3021.036430789394
Order_No_25336,2802.178422674823
Order_No_5171,3245.7409227290655
Order_No_15698,2598.841708875255
Order_No_22233,2712.963402459026
Order_No_26486,2805.2289484555245
Order_No_2207,2796.228348800184
Order_No_25857,2823.7838368233424
Order_No_11783,2739.948795473868
Order_No_24512,3134.633674864595
Order_No_8030,3252.7931300520477
Order_No_12442,2712.963402459026
Order_No_16773,2724.0114472862424
Order_No_7245,2734.1658203472316
Order_No_22380,3240.1166120700045
Order_No_24611,2711.1310754389215
Order_No_11281,2829.770272772087
Order_No_20685,2819.7579478930916
Order_No_25650,3348.7365361143957
Order_No_7279,3081.780082810562
Order_No_21590,3348.7365361143957
Order_No_15175,3233.2916646548792
Order_No_2549,3348.7365361143957
Order_No_21355,3227.1974781086865
